variant,canonical,occurrences,notes
"Existing investors (Zisapel family, Gil Agmon, Delek Motors, Alfred Akirov, DCLBA, Vasuki, OurCrowd, Talcar, Comasco, Automotive Equipment, Poalim Equity)",Existing investors,1,Strip enumerated parenthetical
existing shareholders,Existing shareholders,1,Case variant
Expansion,Expansion Ventures,4,USER-VERIFY: 4 occ 'Expansion' vs 2 occ 'Expansion Ventures' — same firm?
Extantia,Extantia Capital,1,USER-VERIFY: shorthand
Faber,Faber Ventures,1,USER-VERIFY: shorthand
Felicis,Felicis Ventures,2,Shorthand of full firm name
Fidelity,Fidelity Management & Research,6,Fidelity family consolidation; KEEP 'Fidelity Ventures' distinct
Fidelity Investments,Fidelity Management & Research,1,Fidelity family consolidation; KEEP 'Fidelity Ventures' distinct
Fidelity Management,Fidelity Management & Research,1,Fidelity family consolidation; KEEP 'Fidelity Ventures' distinct
Fidelity Management & Research Co.,Fidelity Management & Research,1,Fidelity family consolidation; KEEP 'Fidelity Ventures' distinct
Fidelity Management & Research Company,Fidelity Management & Research,5,Fidelity family consolidation; KEEP 'Fidelity Ventures' distinct
Fidelity Ventures,Fidelity Ventures,1,User explicitly KEEPS DISTINCT from Fidelity Management & Research
Finorpa,FINORPA,1,Case variant
Flex,Flex Capital,1,USER-VERIFY: bare 'Flex' vs 'Flex Capital'
Foresight Group,Foresight Ventures,1,USER-VERIFY: 'Foresight Group' (1 occ) and 'Foresight Ventures' (3 occ) — different entities possible
Founders Fund (Peter Thiel),Founders Fund,1,Strip principal parenthetical
FreeS Fund,Frees Fund,1,Case variant
French State (APE),French State,1,Strip agency parenthetical
French Tech Seed (managed by Bpifrance),French Tech Seed Fund,1,USER-VERIFY: strip parenthetical and normalize 'Fund' suffix
Fuse Venture Capital,FUSE,2,"USER-VERIFY: 'FUSE' (2 occ), 'Fuse Venture Capital' (2 occ), 'FUSE Ventures' (1 occ) — same firm?"
FUSE Ventures,FUSE,1,USER-VERIFY: same firm as FUSE / Fuse Venture Capital?
Future Capital,Future Capital,1,USER-VERIFY: distinct from 'Future Ventures'? KEEP DISTINCT likely
"Future Industry Ventures (Redstone, SBI Holdings)",Future Industry Ventures,1,Strip backers parenthetical
G42 (UAE),G42,1,Strip country parenthetical
GAC,GAC Capital,1,USER-VERIFY: bare 'GAC' could be GAC Group or GAC Capital
GAC Capital (GAC Group),GAC Capital,1,Strip parent parenthetical
GAC Group,GAC Group,1,USER-VERIFY: GAC Group (parent) vs GAC Capital — KEEP DISTINCT likely
Gates Frontier Holdings,Gates Frontier,1,USER-VERIFY: 'Holdings' suffix strip
General Catalyst (Hemant Taneja),General Catalyst,1,Strip principal parenthetical
Geodesic,Geodesic Capital,1,USER-VERIFY: shorthand
GIC (Singapore sovereign fund),GIC,1,Strip descriptor parenthetical (single 'GIC' entity)
Glade Brook Capital Partners,Glade Brook Capital,1,USER-VERIFY: 'Partners' suffix
Goldman Sachs,Goldman Sachs,2,"USER-VERIFY: per user instruction, KEEP Goldman Sachs / Goldman Sachs Asset Management / Goldman Sachs Growth Equity DISTINCT but flag for row-level verification"
Goldman Sachs Asset Management,Goldman Sachs Asset Management,1,"USER-VERIFY: per user instruction, KEEP Goldman Sachs / Goldman Sachs Asset Management / Goldman Sachs Growth Equity DISTINCT but flag for row-level verification"
Goldman Sachs Growth Equity,Goldman Sachs Growth Equity,1,"USER-VERIFY: per user instruction, KEEP Goldman Sachs / Goldman Sachs Asset Management / Goldman Sachs Growth Equity DISTINCT but flag for row-level verification"
Google,Google Ventures,6,"USER-VERIFY: KEEP DISTINCT — Google corporate (6 occ) vs Google Ventures (1 occ, now GV)"
Greenoaks,Greenoaks Capital Management,1,USER-VERIFY: shorthand
GV (Google Ventures),GV,6,USER-VERIFY: canonicalize to GV (current canonical brand); 'GV' alone appears only once
Hanwha (Korea),Hanwha,1,Strip country parenthetical
Hanwha Ventures,Hanwha Ventures,1,USER-VERIFY: Hanwha corporate vs Hanwha Ventures — KEEP DISTINCT likely
HarbourVest,HarbourVest Partners,1,USER-VERIFY: shorthand
Heartcore,Heartcore Capital,2,USER-VERIFY: shorthand
Hefei State-owned Investment,Hefei State-Owned Capital,1,USER-VERIFY: case + suffix — possibly same entity
HH-CTBC Partnership (Foxconn Co-GP Fund),HH-CTBC Partnership,1,Strip sub-fund parenthetical
Hillhouse,Hillhouse Capital,1,USER-VERIFY: shorthand
Honda Motor Co.,Honda Motor,2,Strip 'Co.' suffix
Honeywell (existing majority owner),Honeywell,1,Strip role parenthetical
Honeywell Ventures,Honeywell Ventures,1,USER-VERIFY: KEEP DISTINCT from Honeywell corporate
HongShan (Sequoia China),HongShan,1,Strip rebrand parenthetical
Houxue Capital,HouXue Capital,1,Case variant
Hummingbird,Hummingbird Ventures,1,USER-VERIFY: shorthand
Hyundai Motor Company,Hyundai Motor,1,USER-VERIFY: strip Company suffix; KEEP 'Hyundai Motor Group' distinct
IAG Capital,IAG Capital Partners,4,USER-VERIFY: 'Partners' suffix
Ignite Innovation,Ignite Innovation Fund,2,USER-VERIFY: 'Fund' suffix
Ince Capital,INCE Capital,1,Case variant
Initialized,Initialized Capital,1,Shorthand of full firm name
Inovia Capital,iNovia Capital,1,Case variant (lowercase i)
"Intel (would-be acquirer, terminated)",Intel,1,Strip role parenthetical
Intel Capital (~$100-150M),Intel Capital,1,Strip amount annotation
InterVest,Intervest,1,Case variant
Investissement Quebec (CAD 15M loan),Investissement Quebec,1,Strip amount annotation
IQT (In-Q-Tel),IQT,1,USER-VERIFY: full name 'In-Q-Tel' (12 occ) — collapse IQT into In-Q-Tel?
IronGate,Irongate Capital,1,USER-VERIFY: case + suffix
Jeff Bezos (Bezos Expeditions),Jeff Bezos,1,Strip vehicle parenthetical
J.P. Morgan,JPMorgan,1,JPMorgan consolidation (user list)
JP Morgan,JPMorgan,2,JPMorgan consolidation (user list)
Khosla,Khosla Ventures,1,Shorthand of full firm name
Kia,Kia Corporation,1,USER-VERIFY: full name vs short brand
Kia Corp,Kia Corporation,1,Suffix abbreviation
Kindred Ventures,Kindred Capital,1,USER-VERIFY: 'Kindred Capital' (2 occ) and 'Kindred Ventures' (1 occ) — likely different firms KEEP DISTINCT
"Kolon Group (strategic, South Korea)",Kolon Group,1,USER-VERIFY: distinct from Kolon Investment
Lam Capital (Lam Research),Lam Capital,1,Strip parent parenthetical
Latitude,Latitude Ventures,2,USER-VERIFY: shorthand
Liberty Global Ventures,Liberty Global Ventures,1,USER-VERIFY: KEEP DISTINCT from Liberty Global corporate
Lightspeed,Lightspeed Venture Partners,4,Lightspeed consolidation (user list)
Linear Venture,Linear Capital,1,USER-VERIFY: Linear Capital (2 occ) vs Linear Venture (1 occ) — likely different Chinese VC firms
Lingotto,Lingotto Investment Management,1,USER-VERIFY: shorthand
Lockheed Martin,Lockheed Martin,5,USER-VERIFY: KEEP DISTINCT from Lockheed Martin Ventures
Lockheed Martin Ventures,Lockheed Martin Ventures,11,USER-VERIFY: KEEP DISTINCT from 'Lockheed Martin' (parent corporate); 'Lockheed Martin Ventures' is the venture arm
Long Journey,Long Journey Ventures,2,Shorthand of full firm name
lool ventures,lool Ventures,1,Case variant
LuminArx Capital,LuminArx Capital Management,1,USER-VERIFY: 'Management' suffix
Lux,Lux Capital,1,Shorthand of full firm name
M Ventures (Merck KGaA),M Ventures,1,Strip parent parenthetical
M&G Investments (Catalyst),M&G Investments,1,Strip sub-fund parenthetical
MaC Ventures,MaC Venture Capital,1,USER-VERIFY: same firm — 'MaC Venture Capital' is full name
Macquarie,Macquarie Capital,2,USER-VERIFY: 2 occ each — corporate vs subsidiary
Main Sequence Ventures,Main Sequence,1,USER-VERIFY: 'Main Sequence' (5 occ) is current brand
Matrix Capital Management,Matrix Capital Management,1,USER-VERIFY: KEEP DISTINCT from 'Matrix Partners' — different firms
Matter Venture Partners (TSMC-backed),Matter Venture Partners,1,Strip backer parenthetical
Maverick,Maverick Capital,1,Shorthand of full firm name
Maverick Capital,Maverick Capital,6,USER-VERIFY: KEEP DISTINCT from generic 'Maverick' if appropriate
Mayfield Capital,Mayfield,1,"USER-VERIFY: 'Mayfield' (5 occ), 'Mayfield Fund' (5 occ), 'Mayfield Capital' (1 occ) — same firm?"
Mayfield Fund,Mayfield,5,USER-VERIFY: shorthand vs full firm name
Mesh Ventures,MESH Ventures,1,Case variant
MetaVC,MetaVC Partners,1,USER-VERIFY: shorthand
Micron,Micron Ventures,1,USER-VERIFY: Micron corporate vs Micron Ventures — KEEP DISTINCT likely
Mirae Asset,Mirae Asset,3,"USER-VERIFY: Mirae Asset (3 occ), Mirae Asset Capital (5 occ), Mirae Asset Venture Investment (2 occ) — same firm group; consider canonicalizing"
Mitsubishi,Mitsubishi Corporation,1,USER-VERIFY: bare 'Mitsubishi' (1 occ) likely Mitsubishi Corp
Mitsubishi Corporation,Mitsubishi Corporation,4,Keep as-is (Mitsubishi Corp and 'Mitsubishi' may be different — see USER-VERIFY
Mitsubishi Electric ($25M),Mitsubishi Electric,1,Strip amount annotation
Mitsubishi Electric Corporation,Mitsubishi Electric,1,Strip 'Corporation' suffix
Mitsui Sumitomo Insurance Capital,Mitsui Sumitomo Insurance Venture Capital,1,USER-VERIFY: same firm with/without 'Venture'?
MizMaa Ventures,Mizmaa Ventures,1,Case variant
Mizuho (lead bookrunners),Mizuho,1,Strip role parenthetical
Mizuho Capital,Mizuho,1,USER-VERIFY: corporate vs subsidiary
Morgan Stanley,Morgan Stanley,3,"USER-VERIFY: per user instruction, KEEP Morgan Stanley / Morgan Stanley Counterpoint DISTINCT but flag for row-level verification"
Morgan Stanley Counterpoint,Morgan Stanley Counterpoint,1,"USER-VERIFY: per user instruction, KEEP Morgan Stanley / Morgan Stanley Counterpoint DISTINCT but flag for row-level verification"
Mubadala,Mubadala Capital,1,USER-VERIFY: KEEP DISTINCT — Mubadala (sovereign) vs Mubadala Capital (asset mgmt arm)
Natural Ventures,Natural Capital,1,USER-VERIFY: likely different firms — KEEP DISTINCT
Neva Sgr,Neva SGR,1,Case variant (SGR uppercase)
Neva SGR (Intesa Sanpaolo),Neva SGR,2,Strip parent parenthetical
New Enterprise Associates (NEA),New Enterprise Associates,1,Strip abbreviation parenthetical
New Legacy,New Legacy Ventures,1,USER-VERIFY: shorthand
Newfund,Newfund Capital,1,USER-VERIFY: shorthand
NGP,NGP Capital,2,Shorthand of full firm name
Northrop Grumman ($50M strategic),Northrop Grumman,1,Strip amount annotation
Notion,Notion Capital,1,USER-VERIFY: shorthand
NSSIF (UK),NSSIF,1,Strip country parenthetical
NTT,NTT Group,1,USER-VERIFY: NTT (parent) vs NTT Group — likely same
NVentures,NVentures (NVIDIA),2,USER-VERIFY: canonical retains '(NVIDIA)' disambiguation per existing dataset
NVentures (Nvidia),NVentures (NVIDIA),1,Case variant of NVIDIA parenthetical
NVIDIA ($25M),NVIDIA,1,Strip amount annotation
Nysno Climate Investment,Nysno Climate Investments,1,USER-VERIFY: singular/plural
OKX,OKX Ventures,1,USER-VERIFY: OKX corporate vs OKX Ventures — KEEP DISTINCT likely
Omnes,Omnes Capital,1,USER-VERIFY: shorthand
OMNES Capital,Omnes Capital,1,Case variant
Ondas,Ondas Holdings,1,USER-VERIFY: shorthand
Overmatch,Overmatch Ventures,1,USER-VERIFY: shorthand
OVNI,OVNI Capital,1,USER-VERIFY: shorthand
PICUS Capital,Picus Capital,1,Case variant
Point72,Point72 Ventures,1,USER-VERIFY: bare 'Point72' (1 occ) likely the venture arm
Polygon Ventures,Polygon,1,USER-VERIFY: Polygon (1 occ) vs Polygon Ventures (1 occ)
Porsche,Porsche Ventures,1,USER-VERIFY: Porsche corporate vs Porsche Ventures — KEEP DISTINCT likely
Porsche Investments Management,Porsche Ventures,1,USER-VERIFY: same firm or distinct?
POSCO Investment,POSCO Holdings,1,USER-VERIFY: parent vs investment arm
Presidio (Sumitomo),Presidio Ventures (Sumitomo),1,USER-VERIFY: same firm — strip 'Ventures' or add?
Primo Space Fund,Primo Space,1,USER-VERIFY: 'Fund' suffix
Primo Capital,Primo Ventures,1,USER-VERIFY: same firm rebrand?
Project A,Project A Ventures,2,USER-VERIFY: shorthand
Prosperity7,Prosperity7 Ventures,1,Shorthand of full firm name
Prosperity7 Ventures (Saudi Aramco),Prosperity7 Ventures,1,Strip parent parenthetical
Prosus,Prosus Ventures,1,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
Protagonist,Protagonist Management,1,USER-VERIFY: shorthand
Protocol Labs (Juan Benet),Protocol Labs,1,Strip principal parenthetical
Prysm,Prysm Capital,1,USER-VERIFY: shorthand
Qbic Fund,QBIC,1,USER-VERIFY: case + suffix
Qualcomm,Qualcomm Ventures,1,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
Raptor,Raptor Group,1,USER-VERIFY: shorthand
Ravelin Capital,Ravelin,1,USER-VERIFY: Ravelin (2 occ) vs Ravelin Capital (1 occ)
redalpine,Redalpine,1,Case variant
Republic,Republic Capital,1,USER-VERIFY: shorthand
Ridgeline,Ridgeline Partners,1,USER-VERIFY: Ridgeline (1 occ) vs Ridgeline Partners (2 occ)
Riot,Riot Ventures,2,Shorthand of full firm name
SAIC,SAIC Ventures,1,USER-VERIFY: SAIC vs SAIC Ventures
Salesforce,Salesforce Ventures,1,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
Samsung ($10M),Samsung,1,Strip amount annotation
Samsung NEXT,Samsung Next,2,Case variant
Samsung Venture Investment Corporation,Samsung Ventures,2,USER-VERIFY: legal name 'Samsung Venture Investment Corporation' vs brand 'Samsung Ventures'
SBI Investment (Japan),SBI Investment,1,Strip country parenthetical
SCG Group,SCG,1,USER-VERIFY: SCG (2 occ) vs SCG Group (1 occ)
SE Ventures (Schneider Electric),SE Ventures,1,Strip parent parenthetical
Sequoia,Sequoia Capital,2,Sequoia consolidation; KEEP 'Sequoia Capital China' and 'Sequoia Capital India' distinct
Sequoia Capital (Shaun Maguire),Sequoia Capital,1,Strip parenthetical partner attribution
Seraphim Capital,Seraphim,1,USER-VERIFY: Seraphim (2 occ) vs Seraphim Capital (1 occ)
SevenX,SevenX Ventures,1,USER-VERIFY: shorthand
SIP Global,SIP Global Partners,1,USER-VERIFY: shorthand
SmartCap (Estonia state fund),SmartCap,1,Strip descriptor parenthetical
Snowpoint,Snowpoint Ventures,1,USER-VERIFY: shorthand
SoftBank,SoftBank Group,5,USER-VERIFY: SoftBank (5 occ) vs SoftBank Group (8 occ) — likely same parent
Solidium Oy (Finnish sovereign wealth fund),Solidium Oy,1,Strip descriptor parenthetical
SOSV (HAX),SOSV,1,Strip program parenthetical
Spacecadet,Spacecadet Ventures,1,USER-VERIFY: shorthand
Space.VC,SpaceVC,2,Punctuation variant
Sparta,Sparta Group,1,USER-VERIFY: shorthand
Spartan,Spartan Group,1,USER-VERIFY: shorthand
SquareOne,SquareOne Venture Capital,1,USER-VERIFY: shorthand
Stellantis,Stellantis,4,USER-VERIFY: KEEP DISTINCT from Stellantis Ventures (4 occ each)
Stellantis Ventures,Stellantis Ventures,2,USER-VERIFY: KEEP DISTINCT from Stellantis corporate
StepStone,StepStone Group,3,Shorthand of full firm name
Stepstone Group,StepStone Group,1,Case variant
Suzuki Motor Corporation,Suzuki Motor,1,Strip 'Corporation' suffix
SVB ($100M debt),SVB,1,Strip amount annotation
Swisscom,Swisscom Ventures,1,USER-VERIFY: corporate vs venture arm — KEEP DISTINCT likely
T. Rowe Price Associates,T. Rowe Price,2,T. Rowe Price consolidation (user list)
Taiwania,Taiwania Capital,1,USER-VERIFY: shorthand
Tangent,Tangent Ventures,1,USER-VERIFY: shorthand
Tencent Holdings,Tencent,1,USER-VERIFY: 'Holdings' suffix
Tether Holdings,Tether,1,USER-VERIFY: 'Holdings' suffix
The Engine,The Engine Ventures,1,USER-VERIFY: The Engine rebranded to The Engine Ventures — strip Fund variant too
The Engine Fund,The Engine Ventures,1,USER-VERIFY: The Engine rebranded to The Engine Ventures
Tiger Global,Tiger Global Management,12,Tiger Global consolidation (user list)
Topology,Topology Ventures,1,USER-VERIFY: shorthand
Translink,Translink Capital,1,USER-VERIFY: bare 'Translink' shorthand
TransLink Capital,Translink Capital,1,Case variant
Trinity Capital (debt),Trinity Capital,1,Strip instrument parenthetical
Tru Arrow,Tru Arrow Partners,1,USER-VERIFY: shorthand
TSMC (70% equity),TSMC,1,Strip stake annotation
Uber ($250M milestone-based),Uber,1,Strip amount annotation
UMC,UMC Capital,1,USER-VERIFY: UMC parent vs UMC Capital
Undisclosed (existing investors),Undisclosed,1,Strip descriptor parenthetical
Undisclosed (Spanish syndicate),Undisclosed,1,Strip descriptor parenthetical
Undisclosed (Swiss and US investors),Undisclosed,1,Strip descriptor parenthetical
Up Partners,UP Partners,1,Case variant
Upfront,Upfront Ventures,1,USER-VERIFY: shorthand
U.S. Department of Defense,US Department of Defense,1,Punctuation variant
U.S. Department of Defense (DPA Title III),US Department of Defense,1,Strip program + punctuation
U.S. Innovative Technology Fund,US Innovative Technology Fund,4,US Innovative Technology Fund consolidation
U.S. Innovative Technology Fund (USIT),US Innovative Technology Fund,1,US Innovative Technology Fund consolidation
US Innovative Technology Fund (USIT),US Innovative Technology Fund,2,US Innovative Technology Fund consolidation
Valor Equity,Valor Equity Partners,1,Shorthand of full firm name
Vertex Growth (Temasek),Vertex Growth,1,Strip parent parenthetical
Vsquared,Vsquared Ventures,1,Shorthand of full firm name
Wa'ed Ventures (Aramco),Wa'ed Ventures,1,Strip parent parenthetical
Wa'ed Ventures (Saudi Aramco),Wa'ed Ventures,1,Strip parent parenthetical
Walden Catalyst,Walden Catalyst Ventures,2,Shorthand of full firm name
Walden Catalyst Ventures (Lip-Bu Tan),Walden Catalyst Ventures,1,Strip principal parenthetical
Washington Harbour,Washington Harbour Partners,1,Shorthand of full firm name
Wistron Corporation,Wistron,2,Strip 'Corporation' suffix
Woven Capital (Toyota),Woven Capital,2,Strip parent parenthetical
Xora (Temasek),Xora,1,Strip parent parenthetical
Xuhui Capital (Shanghai),Xuhui Capital,1,Strip city parenthetical
Y Combinator (seed continuation),Y Combinator,1,Strip round annotation
Yamaha Motor,Yamaha Motor Ventures,2,USER-VERIFY: Yamaha Motor corporate vs Yamaha Motor Ventures — KEEP DISTINCT likely
Yamato,Yamato Holdings,1,USER-VERIFY: shorthand
YuanJing Capital,Yuanjing Capital,1,Case variant
