entity_id,company,sector,subsector,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,other_investors,robotnik_notes,source,source_status,total_raised_m,public_market_link,related_tickers
cluster-protocol,Cluster Protocol,Token,Decentralized AI / DePIN,Strategic,token,5.0,,2026-04-24,24-Apr-26,Apr-26,2Q26,2026,Undisclosed (HQ unspecified; Web3-native),DAO5,"Paper Ventures, JPEG Trading, Mapleblock Capital","Decentralized GPU compute infrastructure with verifiable AI execution and modular orchestration layer. Funding is to accelerate CodeXero — a browser-native AI IDE for EVM smart contract deployment. Total funding now $7.75M. CodeXero claims 300K+ wallets connected, 3B+ AI token calls, 25K+ dApps deployed. True DePIN/compute-infrastructure thesis fit (decentralized GPU + AI inference), though application layer is dev tooling. Round amount at $5M is borderline below $5M+ token threshold; flagged as borderline-flagship given decentralized compute fit.",https://www.theblock.co/post/398581/cluster-protocol-raises-5-million-to-accelerate-codexero-a-browser-native-vibe-coding-ai-ide-for-evm-bringing-total-funding-to-7-75-million,verified,,,
pudu-robotics,Pudu Robotics,Robotics,Humanoid & Service Robots,Undisclosed,venture,150.0,1500.0,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,China (Shenzhen),Undisclosed,,"Chinese service-robot OEM crosses unicorn line on push into industrial delivery and embodied AI; total funding now exceeds $300M. Read against Chinese humanoid wave (Unitree, TARS) and US service-robot operators.",https://www.prnewswire.com/news-releases/pudu-robotics-raises-nearly-usd-150-million-exceeds-usd-1-5-billion-valuation-302751124.html,verified,,,
skydio,Skydio,Robotics,Autonomous Systems & Drones,Series F,venture,110.0,4400.0,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,"USA (San Mateo, CA)",Undisclosed (existing investors),,"$4.4B post-money on hundreds of millions in ARR; explicitly small round to retain optionality, alongside separate $3.5B US manufacturing pledge (Skyforge). Public-comp anchor for AeroVironment (AVAV) and Red Cat (RCAT).",https://www.skydio.com/blog/skydio-series-f,verified,,,
univity,Univity,Space,Satellite Communications,Series A,venture,32.0,,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,France (Paris),"Blast, Expansion Ventures","Bpifrance Deeptech 2030, two family offices","VLEO 5G constellation play (formerly Constellation Technologies & Operations). Targeting 1,600+ sats at ~375km, well below Starlink's 550km. European sovereignty story competing against ASTS / Starlink direct-to-cell. Two demo sats by Feb 2028.",https://spacenews.com/univity-funds-vleo-5g-demonstrators-with-32-million-series-a/,verified,,,
ouidrop,Ouidrop,Robotics,Warehouse & Logistics,Seed,venture,7.7,,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,France (Bordeaux),Xplore by Épopée Gestion,"SWEN Capital Partners, GSO Innovation, Crédit Agricole, Spring Invest","Tri-temperature autonomous click-and-collect grocery dropper; deployed with Leclerc, Intermarché. Targets 500 units by 2030. France-only adjacent to UK Ocado smart-platform unit.",https://epopeegestion.fr/en/ouidrop-raises-e7-million-to-industrialise-and-accelerate-the-rollout-of-its-droppers-an-autonomous-grocery-pick-up-solution/,verified,,,
polariton-technologies,Polariton Technologies,Semiconductors,Frontier Compute,M&A,venture,,,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,Switzerland (Zurich),Marvell Technology,,"Marvell acquires plasmonics-based silicon photonics modulator startup, an ETH Zurich spinout, to scale 3.2T+ optical interconnects. Tightens MRVL's optical positioning vs. AVGO; financial terms not disclosed.",https://investor.marvell.com/news-events/press-releases/detail/1020/marvell-announces-acquisition-of-polariton-technologies-advancing-optical-performance-scaling-to-3-2t-and-beyond,verified,,,
neo-semiconductor,NEO Semiconductor,Semiconductors,Fabless Design,Strategic,strategic_corporate,,,2026-04-23,23-Apr-26,Apr-26,2Q26,2026,"USA (San Jose, CA)","Stan Shih (Founder of Acer, former TSMC board)",,3D X-DRAM memory IP startup with HBM-alternative claim of 8x density on existing 3D NAND tooling. Strategic backing from former TSMC board member Stan Shih; targets the HBM bottleneck currently held by SK hynix/Samsung/Micron. Amount undisclosed.,https://www.prnewswire.com/news-releases/neo-semiconductor-demonstrates-3d-x-dram-proof-of-concept-secures-strategic-investment-to-advance-ai-memory-302751824.html,verified,,,
atmos-space-cargo,ATMOS Space Cargo,Space,In-Orbit Services,Series A,venture,30.5,,2026-04-22,22-Apr-26,Apr-26,2Q26,2026,Germany (Lichtenau),"Balnord, Expansion Ventures","Keen Defence and Security, EIC Accelerator, OTB Ventures, HTGF, APEX Ventures, Seraphim, Faber, E2MC, Kirch Ventures, Lennertz & Co., Mätch VC, MBG Baden-Württemberg, Tech Horizons","Earth-to-space-to-Earth orbital reentry/return logistics. PHOENIX 2 fleet (3 vehicles), ATMOS WORKS (gov/defense), PHOENIX 3 next-gen vehicle. Recovery ops near Azores under Portugal's ANACOM-09/2026-AE license. Phoenix 2.1 mission H2 2026. EU sovereign return-from-orbit.",https://spacenews.com/atmos-space-cargo-raises-30-million-for-reentry-missions/,verified,,,
fortem-technologies,Fortem Technologies,Robotics,Autonomous Systems & Drones,Series B,venture,25.0,,2026-04-22,22-Apr-26,Apr-26,2Q26,2026,"USA (Lindon, UT)",Lockheed Martin,,"Counter-UAS radar/AI integration with Lockheed Sanctum ecosystem; corporate-equity strategic round to scale Utah manufacturing. Comp: Anduril, Epirus (counter-drone primes).",https://news.lockheedmartin.com/2026-04-22-Lockheed-Martin-Invests-25M-in-Fortem-Technologies-to-Meet-Urgent-Demand-for-Countering-UAS-Threats,verified,,,
a-k-robotics,A&K Robotics,Robotics,Humanoid & Service Robots,Series A,venture,5.7,,2026-04-22,22-Apr-26,Apr-26,2Q26,2026,"Canada (Vancouver, BC)","BDC Capital, Vantage Futures","RiSC Capital, Grep VC, Nimbus Synergies, Dan Gelbart",Cruz autonomous passenger pods deployed at YVR and Madrid-Barajas; targeting airport mobility/accessibility TAM. Adjacent to A&R-backed Glydways but at the per-unit pod level rather than network grade.,https://www.businesswire.com/news/home/20260421367847/en/AK-Robotics-Raises-$8-Million-to-Build-Autonomous-Mobility-Infrastructure-for-Airports,verified,,,
sj-semiconductor,SJ Semiconductor,Semiconductors,OSAT / Packaging & Test,IPO,venture,690.0,19320.0,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,"China (Wuxi, Jiangsu)",Shanghai Stock Exchange STAR Market,,Largest A-share IPO of 2026 YTD; raised ~RMB 5B for chiplet/3D multi-chip integration capacity. SJSemi holds ~85% of China 2.5D packaging share and ~8% globally — a domestic answer to TSM CoWoS supply constraints.,https://www.trendforce.com/news/2026/04/23/news-china-osat-sj-semiconductor-reportedly-raises-rmb-5b-in-ipo-largest-a-share-offering-of-2026-so-far/,verified,,,
deepway,DeepWay,Robotics,Autonomous Systems & Drones,Pre-IPO,venture,310.0,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,China (Beijing),Stone Venture,"NGS Super, Xiamen Guosheng Fund, ABC Impact, Nanjing Ronghe Venture Capital","Pre-IPO tranche for Baidu-backed autonomous heavy-duty EV truckmaker; ~6,400 trucks delivered to date as it pursues Hong Kong listing. Largest China autonomous-trucking round in five years; comp set: TuSimple, Kodiak, Embark.",https://thenextweb.com/news/deepway-310m-pre-ipo-financing,verified,,,
reliable-robotics,Reliable Robotics,Robotics,Autonomous Systems & Drones,Series D,venture,160.0,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,"USA (Mountain View, CA)",Nimble Partners,"Eclipse, Lightspeed, Coatue, Pathbreaker Ventures, Island Green Capital, Socium Ventures, AE Ventures (Boeing), RTX Ventures, Presidio Ventures (Sumitomo), UP.Partners, KAS Venture Partners","Fully automated FAA-certifiable cargo-aircraft system with 200+ committed orders and DOT eIPP selection; competes with Xwing/Joby crewed-AV vectors. Strategics from Boeing, Sumitomo and RTX bring distribution and integration leverage.",https://www.finsmes.com/2026/04/reliable-robotics-raises-160m-in-new-investment.html,verified,,,
syenta,Syenta,Semiconductors,OSAT / Packaging & Test,Series A,venture,26.0,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,Australia (Sydney),"Playground Global, Australia's National Reconstruction Fund","Investible, Salus Ventures, Jelix Ventures, Wollemi Capital","Electrochemical advanced packaging method for chip-to-chip copper interconnects, ANU spinout. Pat Gelsinger joined the board as Playground Global GP — strong signal that advanced packaging is a structural bottleneck even as TSM scales CoWoS.",https://www.businesswire.com/news/home/20260421921787/en/Next-generation-Semiconductor-Company-Syenta-Raises-$26-Million-in-Series-A-Funding-to-Deliver-Breakthrough-Chip-to-Chip-Connectivity-for-AI,verified,,,
humble-robotics,Humble Robotics,Robotics,Autonomous Systems & Drones,Seed,venture,24.0,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,"USA (San Francisco, CA)",Eclipse,Energy Impact Partners,"Cabless autonomous electric Class 8 hauler targeting dock-to-dock freight. Sized seed for hardware capex and a credible challenger to Aurora (AUR), Kodiak, and Plus.ai in the AV-trucking duopolization.",https://fortune.com/2026/04/21/exclusive-humble-freight-autonomous-truck-eclipse-trucking/,verified,,,
orangeqs-orange-quantum-systems,OrangeQS (Orange Quantum Systems),Semiconductors,OSAT / Packaging & Test,Seed (extension),venture,17.6,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,Netherlands (Delft),European Innovation Council (EIC) Fund,"(Existing investors), partnership program with Rigetti, QuantWare, Peak Quantum",Dutch quantum chip testing equipment startup extends seed to E15M (~$17.6M total) with EIC Fund. Tests are a chronic bottleneck for quantum hardware scaling; OrangeQS sits between MAX testing tools and chipmakers like Rigetti.,https://thequantuminsider.com/2026/04/21/orangeqs-extends-seed-round-to-e15-million-and-partners-with-rigetti-quantware-and-peak-quantum/,verified,,,
smart-robotics,Smart Robotics,Robotics,Warehouse & Logistics,Series A,venture,10.8,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,Netherlands (Eindhoven),Rotterdamse Havendraken,"Innovation Industries, Ernij Next",Dutch pick-and-place specialist with 120+ deployed systems and 1B successful production picks; targeting European intralogistics expansion. Smaller-scale comp to Sereact and Symbotic (SYM) at the cell level.,https://smart-robotics.io/news/funding-round/,verified,,,
bubble-robotics,Bubble Robotics,Robotics,Autonomous Systems & Drones,Pre-Seed,venture,5.0,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,France (Paris),"Episode 1 Ventures, Asterion Ventures, Norrsken Evolve",,Persistent AI-driven AUVs for offshore-wind and subsea infrastructure operations with $4M+ LOIs in hand; competes with Saildrone and Ocean Infinity in the maritime-autonomy stack.,https://oceannews.com/news/science-technology/bubble-robotics-announces-pre-seed-round-to-build-the-oceans-autonomous-workforce,verified,,,
premium-robotics,Premium Robotics,Robotics,Warehouse & Logistics,M&A,venture,,,2026-04-21,21-Apr-26,Apr-26,2Q26,2026,Germany (Leinfelden-Echterdingen),Schwarz Group,,Schwarz (Lidl/Kaufland parent) takes over its long-time picking/palletizing partner for in-house intralogistics expertise in food retail. Vertical-integration play comparable to Walmart's investment in Symbotic (SYM).,https://gruppe.schwarz/en/press/archive/2026/companies-of-schwarz-group-integrate-tech-specialist-premium-robotics,verified,,,
x-square-robot,X Square Robot,Robotics,Humanoid & Service Robots,Series B,venture,276.0,,2026-04-20,20-Apr-26,Apr-26,2Q26,2026,China (Shenzhen),"Xiaomi, HongShan","Meituan, Alibaba, ByteDance",Embodied-intelligence household-robot startup behind WALL-A multimodal transformer; targeting consumer home rollout via WALL-B model. Xiaomi/HongShan strategic-financial mix is signature mainland AI-robot capital structure.,https://www.caixinglobal.com/2026-04-21/x-square-robot-raises-new-funds-targets-home-trials-by-may-102436558.html,verified,,,
orbital-chenguang-beijing-orbital-twilight,Orbital Chenguang (Beijing Orbital Twilight),Space,Satellite Communications,Pre-Series A,venture,,,2026-04-20,20-Apr-26,Apr-26,2Q26,2026,China (Beijing),"Haisong Capital, CITIC Construction Investment Capital","Cathay Capital, InnoAngel Fund, Anhui Xinhua Group, Zhike Industrial Investment, Kunlun Capital, Lizhe Fund","Orbital data center startup. Equity round size undisclosed but accompanied by $8.4B (57.7B yuan) strategic credit lines from 12 Chinese banks (BoC, AgBank, CITIC, etc). Backed by Beijing municipal sci-tech commission. China's space-AI compute counter to Starlink/SpaceX.",https://spacenews.com/china-backs-orbital-data-center-startup-with-8-4-billion-in-credit-lines/,verified,,,
cerebras-systems,Cerebras Systems,Semiconductors,Frontier Compute,IPO (filed),venture,2000.0,24000.0,2026-04-17,17-Apr-26,Apr-26,2Q26,2026,"USA (Sunnyvale, CA)",Filed S-1 with SEC (Nasdaq: CBRS),,Wafer-scale AI compute pioneer filed S-1 targeting ~$2B raise at $22-25B valuation. $510M FY25 revenue and $10B OpenAI contract back the bid to challenge NVDA's training share.,https://stockmaven.com/cerebras-ipo-2026/,verified,,,
zeabuz,Zeabuz,Robotics,Autonomous Systems & Drones,Seed,venture,4.0,,2026-04-17,17-Apr-26,Apr-26,2Q26,2026,Norway (Trondheim),Grieg Kapital,"Eitzen, Barclay Holding",Autonomous urban-ferry/maritime stack with dual-use civilian and defense pipeline. Below threshold materially but listed for completeness on European maritime autonomy momentum.,https://www.hellenicshippingnews.com/zeabuz-as-secures-nok-40-million-in-a-funding-round-led-by-grieg-kapital-to-support-rapid-international-deployment-and-scaling/,verified,,,
tars,TARS,Robotics,Humanoid & Service Robots,Pre-Series A,venture,455.0,,2026-04-16,16-Apr-26,Apr-26,2Q26,2026,China (Shanghai),Undisclosed,,Largest single-round Pre-A in China embodied-intelligence history; founders are Baidu Apollo + Huawei AD veterans. Demonstrates ongoing humanoid-AI capital saturation post-Skild and post-Apptronik mega-rounds.,https://www.caixinglobal.com/2026-04-17/chinese-ai-robotics-startup-tars-raises-455-million-in-record-pre-a-round-102434873.html,verified,,,
ulysses-ecosystem-engineering,Ulysses Ecosystem Engineering,Robotics,Autonomous Systems & Drones,Series A,venture,38.0,,2026-04-16,16-Apr-26,Apr-26,2Q26,2026,Ireland (Dublin),Andreessen Horowitz,"Booz Allen Ventures, Harpoon Ventures",Autonomous underwater drones for marine ecosystem restoration (seagrass) and dual-use offshore-energy/defense applications; total raised now $46M including prior seed. Marine adjacent of Saildrone with carbon-restoration angle.,https://www.irishtimes.com/business/2026/04/16/irish-founded-ulysses-raises-38m-in-series-a-funding/,verified,,,
antioch,Antioch,Robotics,Software & Simulation,Seed,venture,8.5,60.0,2026-04-16,16-Apr-26,Apr-26,2Q26,2026,"USA (New York, NY)","A*, Category Ventures","MaC Venture Capital, BoxGroup, Icehouse Ventures, Abstract",Sim-tooling layer pitched as 'Cursor for physical AI'; founders include Transpose alums and Meta Reality Labs/DeepMind hires. Bookends NVDA Isaac and Cosmos with a developer-first wrapper.,https://techcrunch.com/2026/04/16/this-simulation-startup-wants-to-be-the-cursor-for-physical-ai/,verified,,,
turion-space,Turion Space,Space,Earth Observation,Series B,venture,75.0,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,"USA (Irvine, CA)",Washington Harbour Partners,"Aurelia Foundry, Forward Deployed VC, FoundersX, Center15 Capital, Magnetar Capital, HOF Capital, Industrious Ventures","Space domain awareness + non-Earth imaging. 28 USG contracts including Space Force, NASA, NRO. Scaling production from 8 to 40 satellites/year. First NOAA-licensed commercial NEI provider. Direct competitor to LeoLabs/Slingshot.",https://spacenews.com/turion-space-raises-75-million-to-expand-maneuverable-satellite-fleet/,verified,,,
wayve,Wayve,Robotics,Autonomous Systems & Drones,Series D (extension),venture,60.0,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,United Kingdom (London),AMD,"Arm, Qualcomm Ventures",Strategic chip-vendor extension to the existing $1.2B Series D; positions Wayve's mapless end-to-end AI Driver as compute-agnostic versus Tesla FSD-on-Dojo and Waymo-on-TPU. Full $60M is corporate equity rather than financial capital.,https://wayve.ai/press/series-d-extension/,verified,,,
hyfix-spatial-intelligence,HYFIX Spatial Intelligence,Robotics,Machine Vision & Sensors,Seed,venture,15.0,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,"USA (Santa Clara, CA)",Craft Ventures,"Catapult Ventures, Multicoin Capital, Finality Capital, Sky Dayton","US-made SoC for drones/robots integrating flight control, GPS, secure comms, and onboard compute; positioned against Chinese-controlled supply chain after FCC restrictions. Indirect public-comp set: AMBA, INVZ, AEVA.",https://fortune.com/2026/04/15/exclusive-hyfix-craft-ventures-dji-drone-gps-chi/,verified,,,
donecle,Donecle,Robotics,Autonomous Systems & Drones,Series B,venture,11.0,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,France (Toulouse),"IRDI Capital Investissement, SWEN Capital Partners","GSO Innovation, ARIS Occitanie","Aircraft-inspection drones with Airbus and Boeing certifications and EASA/FAA approvals — only operator with both. Niche but moated; comp set: Skylock, Edinburgh-based Airfish.",https://dronelife.com/2026/04/16/donecle-raises-e10-million-to-expand-drone-based-aircraft-inspection-platform/,verified,,,
strata-robotics,Strata Robotics,Robotics,Industrial Robots,Seed,venture,5.2,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,"USA (Boston, MA)",Founders Fund,"Buckley Ventures, Topology Ventures, House Capital, Side Door Ventures, Also Capital, E14 Fund",Founders-Fund-backed industrial-robotics seed; reports limited so single-source caveat applies. Sits adjacent to physical-AI builder kit thesis with Anvil and Strata.,https://roboticsroundup.substack.com/p/robotics-roundup-28-april-2026,verified,,,
general-robotics,General Robotics,Robotics,Software & Simulation,Strategic,strategic_corporate,,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,"USA (Redmond, WA)",Accenture Ventures,,GRID intelligence layer integrates NVIDIA Isaac Sim and orchestrates heterogeneous robot fleets. Accenture commercial channel + IsaacSim integration is a credible go-to-market shortcut. Terms undisclosed.,https://newsroom.accenture.com/news/2026/accenture-invests-in-general-robotics-to-advance-physical-ai-powered-robotics-in-manufacturing-and-logistics,verified,,,
nuvacore,Nuvacore,Semiconductors,Fabless Design,Seed,venture,,,2026-04-15,15-Apr-26,Apr-26,2Q26,2026,USA,Sequoia Capital,,Stealth-launching fabless CPU startup founded by Apple/Qualcomm/Nuvia alumni; Sequoia-led seed at undisclosed amount. Targets AI-era datacenter CPUs as agents drive demand for non-x86/non-ARM compute alternatives. Stage and amount uncertain.,https://www.bloomberg.com/news/articles/2026-04-15/sequoia-backed-chip-startup-nuvacore-looks-to-overhaul-cpus-for-ai-era,verified,,,
