entity_id,company,company_description,sector,subsector,value_chain_tier,bottleneck_risk,policy_exposure,round,deal_type,amount_m,valuation_m,date,date_display,month_year,quarter,year,location,lead_investors,co_investors,related_tickers,robotnik_take,source
cambridge-gan-devices,Cambridge GaN Devices,"UK Cambridge University spinout designing gallium nitride (GaN) power transistors and ICs for industrial, data center, and automotive applications. Competes with Infineon, EPC, and Navitas in GaN power semiconductors.",Semiconductors,Power & Analog,IP & Design,Medium,UK_NSI_Act,Series C,venture,32,,2025-02-18,18-Feb-25,Feb-25,1Q25,2025,United Kingdom (Cambridge),Strategic investor (undisclosed),"British Patient Capital, Parkwalk, BGF, Cambridge Innovation Capital, Foresight Group, IQ Capital",,"$32M Series C against GaN power incumbents: Infineon (IFX DE), Navitas (NVTS), Wolfspeed (WOLF), and EPC (private) — Cambridge GaN is the smallest player in the public-market comp set by an order of magnitude. Strategic-investor lead with British Patient Capital signals UK domestic-semis support, not aggressive growth thesis. Data-center 48V conversion is the only segment where Cambridge GaN can credibly compete on volume; binary is a single hyperscaler design-win before Infineon's monolithic GaN ICs reach production scale.",https://camgandevices.com/p/cambridge-gan-devices-secures-32m/
wooptix,Wooptix,"Spanish developer of wavefront-phase imaging metrology tools for advanced-node semiconductor wafers, an alternative to traditional interferometry. Intel Capital is a strategic investor; launching the Phemet fab metrology tool from a new Tenerife cleanroom.",Semiconductors,Equipment,Capital Equipment,Medium,EU_Chips_Act,Series C,venture,10.5,,2025-02-18,18-Feb-25,Feb-25,1Q25,2025,Spain (Canary Islands),"Samsung Venture Investment Corporation, SETT","Bullnet Capital, EIC Fund, Intel Capital, MONDRAGON Corporation, TEL Venture Capital",,"$10.5M Series C for wavefront-phase metrology — competing against KLA (KLAC) and Applied Materials (AMAT) on the wafer-inspection stack, plus Onto Innovation (ONTO) and Camtek (CAMT) on the smaller-cap end. Samsung Ventures + Intel Capital + TEL Venture lead is the unusual signal: three of the largest fab and equipment customers are funding the same metrology supplier. Phemet tool's lateral resolution at advanced nodes is the binary. Sub-$25M round; deal economics priced for foothold, not category leadership.",https://wooptix.com/wooptix-secures-over-e10-million/
saronic,Saronic,"Builds autonomous surface vessels (Spyglass, Cutlass, Corsair classes) for the US Navy and allied maritime forces. Founded by a former Navy SEAL; building Port Alpha, a dedicated autonomous shipyard for mass production of unmanned vessels.",Robotics,Autonomous Systems & Drones,System Integration,Medium,US_DPA_Title_III,Series C,venture,600,4000,2025-02-19,19-Feb-25,Feb-25,1Q25,2025,"USA (Austin, TX)",Elad Gil,"General Catalyst, Andreessen Horowitz, 8VC, Caffeinated Capital, NightDragon, Lightspeed Venture Partners, Point72 Ventures",,"Port Alpha is the load-bearing piece — first new US Navy-grade greenfield shipyard in decades positions Saronic as the domestic shipbuilding picks-and-shovels play, not just an ASV vendor. Comp set: Huntington Ingalls (HII) and Austal (ASB AU) on hulls, Leidos (LDOS) and L3Harris (LHX) on integration, HavocAI and Anduril Marine private-side. $4B post is 4x prior round — pricing the unmanned-fleet thesis ahead of Replicator volume contracts and CHIPS-of-the-sea capacity build.",https://techcrunch.com/2025/02/19/saronic-raises-600m-to-mass-produce-autonomous-warships/
lambda,Lambda,"Operates an AI cloud service that rents NVIDIA GPU servers for AI training and inference. Manages over 25,000 GPUs across its data centers, adding Blackwell B200s in 2025; competes with CoreWeave and the hyperscaler clouds.",Semiconductors,Frontier Compute,Software & Services,Medium,US_CHIPS_Act,Series D,venture,480,2500,2025-02-19,19-Feb-25,Feb-25,1Q25,2025,"USA (San Francisco, CA)","Andra Capital, SGW","NVentures (NVIDIA), ARK Invest, In-Q-Tel, Andrej Karpathy, Pegatron, Supermicro, Wistron, G Squared",NVDA,"$480M Series D at multi-billion valuation funds Blackwell B200 buildout; 25,000+ GPU fleet positions Lambda as the merchant alternative to CoreWeave (CRWV) and hyperscaler AI clouds. Comp set: CoreWeave on listed GPU cloud, Crusoe and Together AI on private peers, Oracle (ORCL) on hyperscaler GPU rental. Capital intensity is the binary question — Lambda's lifetime raise sits a tier below CoreWeave's debt-heavy capital stack.",https://www.cnbc.com/2025/02/19/ai-cloud-startup-lambda-raises-480-million.html
semiqon,SemiQon,Finnish VTT spinout designing cryo-CMOS chips for control electronics in quantum computers. Targets the control-electronics layer that scales alongside qubit counts in superconducting and spin-qubit quantum systems.,Semiconductors,Fabless Design,IP & Design,Pre-commercial,EU_Chips_Act,Series A,venture,20,,2025-02-19,19-Feb-25,Feb-25,1Q25,2025,Finland (Espoo),European Innovation Council Accelerator,"Voima Ventures, Lunar Ventures, Dhyan Ventures, Tiny Supercomputer VC, Atomico Angel",,"EUR 15M equity + EUR 2.5M grants Series A — cryo-CMOS targets the qubit-control-electronics layer that has to scale with qubit counts. Comp set: Intel (INTC) Horse Ridge II on the in-house cryo-CMOS side, plus Quantum Machines and Zurich Instruments on the room-temp control side. EIC Accelerator lead is grant capital, not growth signaling. VTT pedigree gives Finnish national-lab fab access. Binary: integration with a major qubit vendor (IBM, Google, IonQ) before in-house cryo-CMOS solutions productize.",https://arcticstartup.com/semiqon-raises-e17-5m/
aheadcomputing,AheadComputing,"Develops high-performance RISC-V application processors for AI, cloud, and edge compute, founded by former Intel CPU architects. Targets per-core performance leadership in the RISC-V ecosystem.",Semiconductors,Fabless Design,IP & Design,Pre-commercial,US_CHIPS_Act,Seed,venture,21.5,,2025-02-19,19-Feb-25,Feb-25,1Q25,2025,USA,Eclipse Ventures,"Maverick Capital, Fundomo, EPIQ Capital Group, Jim Keller (Tenstorrent CEO)",,"$21.5M seed for RISC-V high-performance application processors — comp set: SiFive and Tenstorrent (Jim Keller) on the RISC-V architecture side, against Intel (INTC), AMD (AMD), and ARM (ARM) on the licensed/integrated incumbents. Eclipse Ventures lead plus Keller as angel signals architect-network capital, not platform-velocity yet. Ex-Intel CPU team is the thesis: per-core performance leadership in RISC-V has been the white-whale of the ecosystem. Binary catalyst is a tape-out demonstrating credible IPC against ARM v9.",https://siliconangle.com/2025/02/19/risc-v-chip-startup-aheadcomputing-raises-21-5m-fix-cpu-bottlenecks/
puzhao-materials,Puzhao Materials,Chinese manufacturer of photomasks used in IC lithography. Part of China's domestic chip supply push to reduce dependence on Photronics and Japanese photomask suppliers.,Semiconductors,Equipment,Capital Equipment,Medium,China_Big_Fund;US_Export_Controls_China,Series B,venture,102,,2025-02-20,20-Feb-25,Feb-25,1Q25,2025,China,,,,"$102M Series B for Chinese domestic photomask supply — direct comp set: Photronics (PLAB) and Toppan (7911 JP) on the global photomask incumbents, against domestic substitution targets like SMIC (981 HK) and Hua Hong (1347 HK) on demand-side. Investor list undisclosed but round size signals state-aligned capital depth. Photomasks are an under-appreciated chokepoint in China's semiconductor self-sufficiency push — the binary is whether Puzhao can serve advanced-node masks before US export controls tighten further.",https://globalventuring.com/corporate/asia/february-2025-data-china-ai-chips/
quantum-machines,Quantum Machines,"Provides quantum control hardware and software — the OPX+ controller and QUA programming language — that orchestrate qubit operations. Customers include more than half of the active quantum computing companies worldwide, regardless of qubit modality.",Semiconductors,Frontier Compute,IP & Design,Medium,None,Series C,venture,170,700,2025-02-25,25-Feb-25,Feb-25,1Q25,2025,Israel (Tel Aviv),PSG Equity,"Intel Capital, Red Dot Capital Partners",,"$170M Series C at $700M post — Quantum Machines is the Switzerland of quantum: serves more than half of active quantum companies regardless of modality. Comp set: IonQ (IONQ), Rigetti (RGTI), and D-Wave (QBTS) on the public modality side; Keysight (KEYS) as the test-and-measurement analog. PSG Equity lead plus Intel Capital co-invest signals growth and strategic alignment. Thesis: control-electronics revenue scales with industry-wide qubit count, not modality winners. Picks-and-shovels at fair price.",https://techcrunch.com/2025/02/25/quantum-machines-raises-170m-says-its-working-with-more-than-half-of-all-quantum-computing-companies/
tokamak-energy,Tokamak Energy,Develops a compact spherical tokamak fusion reactor using high-temperature superconducting (HTS) magnets. UK-based; participates in the US DOE Milestone-Based Fusion Development Program and also commercializes HTS magnet technology.,Materials,Structural Materials,,,None,Other,venture,125,,2024-11-20,20-Nov-24,Nov-24,4Q24,2024,United Kingdom (Oxford),"East X Ventures, Lingotto",,,HTS tokamak design; compact spherical tokamak advancing; DOE Milestone Program.,https://tokamakenergy.com/2024/11/20/tokamak-energy-raises-125m-to-commercialise-transformative-fusion-and-magnet-technologies/
viam,Viam,Provides a horizontal software platform — a robotics and IoT operating system — for connecting and managing smart machines. Founded by MongoDB co-founder Eliot Horowitz; positions as developer infrastructure rather than vertical robotics.,Robotics,Software & Simulation,Software & Services,Medium,None,Series C,venture,30,,2025-03-03,3-Mar-25,Mar-25,1Q25,2025,"USA (New York, NY)",Union Square Ventures,"Battery Ventures, Neurone",,"$30M Series C — Viam is the horizontal robotics OS comp to Physical Intelligence on the model layer and ROS-derived stacks on the open-source layer, plus PTC's (PTC) ThingWorx on the industrial-IoT-software side. Eliot Horowitz's MongoDB-derived playbook reads as developer-infra-first, vertical-application-second. Union Square + Battery + Neurone is a small-check insider round, not a growth-stage signal. Binary: whether Viam captures meaningful share of the OEM SDK layer before NVIDIA (NVDA) Isaac and AWS RoboMaker compress the developer-tooling pricing power.",https://fortune.com/2025/03/03/mongodb-viam-union-square-ventures-albert-wenger-ai-robotics/
epirus,Epirus,Develops the Leonidas high-power microwave system for counter-drone and counter-electronics use. Sells solid-state directed-energy weapons to the US Army and allied militaries.,Robotics,Autonomous Systems & Drones,System Integration,Medium,US_DPA_Title_III,Series D,venture,250,1800,2025-03-05,5-Mar-25,Mar-25,1Q25,2025,"USA (Torrance, CA)","8VC, Washington Harbour Partners","General Dynamics Land Systems, StepStone Group, T. Rowe Price, NightDragon, Manhattan Venture Partners",,"$250M Series D at $1.35B post-money positions Epirus as the best-capitalized pure-play HPM counter-drone vendor. Comp set: Anduril (private) on broader defense-tech, RTX (RTX) and Lockheed (LMT) on incumbent directed-energy, no public pure-play. Pentagon Leonidas IDIQ award is the binary catalyst. The 2x step-up from Series C signals continued defense-tech momentum through the autonomy procurement cycle.",https://www.axios.com/2025/03/05/epirus-directed-energy-drone-funding
shield-ai,Shield AI,"Develops Hivemind, an AI autonomy stack for military aircraft and drones that enables operation in GPS- and communications-denied environments. Products include the V-BAT vertical-takeoff UAV and Hivemind-equipped fighter jet retrofits.",Robotics,Autonomous Systems & Drones,System Integration,High,US_DPA_Title_III,Series F,venture,240,5300,2025-03-06,6-Mar-25,Mar-25,1Q25,2025,"USA (San Diego, CA)","L3Harris, Hanwha Aerospace","Andreessen Horowitz, US Innovative Technology Fund, Washington Harbour Partners",,"$240M Series F at $5.3B post — Shield AI is the autonomy-software comp to Anduril on the vertically integrated defense-prime side, plus AeroVironment (AVAV), Kratos (KTOS), and Northrop (NOC) on the public-market autonomy stack. L3Harris (LHX) + Hanwha Aerospace co-leading is the structural signal: incumbent primes are buying influence in the software layer rather than building. V-BAT plus Hivemind-equipped F-16 retrofits make Shield AI the rare both-platform-and-software bet. Binary catalyst is the first Hivemind program-of-record award at scale.",https://techcrunch.com/2025/03/06/shield-ai-raises-240-million/
